cell,gamma_nu,ci_lo,ci_hi,peakJ,n_chains,source_json
mistral_pathC,0.821458456006576,0.7684346537424467,0.8635041575685842,1.08,120,spectrum_results_7cell_20260602.json
llama3_01,0.8159867538315023,0.7866421944806704,0.8479724979607826,1.0,148,spectrum_results_7cell_20260602.json
llama3_AB,0.8091494490794807,0.7419371439204955,0.9632056262610789,1.08,72,spectrum_results_7cell_20260602.json
qwen3_01,0.8332213263190427,0.7567617400144583,0.9070157274834512,1.08,72,spectrum_results_7cell_20260602.json
qwen25_01,0.6868728587166122,0.5548558901462117,0.9039476863815263,1.08,72,spectrum_results_7cell_20260602.json
qwen25_AB,0.8327870292343468,0.7630040317898307,0.914452313499493,1.08,72,spectrum_results_7cell_20260602.json
yi_01,0.825572257241844,0.8109524293012238,0.9228916151967579,1.08,72,spectrum_results_7cell_20260602.json
