cell,N,J,chi_mean,chi_sem,u4_mean,u4_sem,absm_mean,absm_sem,n_seed,source_json
mistral_viz_jsweep,8,0.2,1.3336578008431428,0.018246203500594384,0.1634443092343754,0.015245178290532764,0.3258988015978695,0.004449608889428181,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,8,0.4,1.9307767184809954,0.04274206113781887,0.22289354108994233,0.012747998652133217,0.39480692410119844,0.006714875841281522,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,8,0.6,2.98190842451225,0.19046173305227312,0.3765854180410034,0.01792412117870068,0.5239680426098535,0.017894336340757412,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,8,0.8,4.121146357305513,0.1671866952663274,0.488409910858807,0.014551329858000762,0.6509098979138925,0.020118531851286075,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,8,1.0,4.855101911757839,0.14822941772109327,0.5673347355342787,0.004351516256257702,0.7710830004438526,0.008238718864604979,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,8,1.2,6.033526536300467,0.18276338533323,0.609548010127353,0.008710710259677878,0.8527518863737239,0.018587792228226523,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,8,1.5,6.7272268429784114,0.5601621483815843,0.6507384664109715,0.0011538160846808125,0.9536173990235243,0.003385134247269588,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,16,0.2,1.430279969952772,0.016489592628764115,0.08321644546228275,0.02545604746863628,0.23884820239680427,0.0022372220543337698,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,16,0.4,2.241725339730485,0.0782121461167127,0.1839028715702465,0.016728809738793364,0.30548158011540166,0.00595404646841443,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,16,0.6,3.6301818022781283,0.14622120285823237,0.2778070923269577,0.007194404872808233,0.3978029294274301,0.009092210575065013,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,16,0.8,6.377365761171819,0.11187552015147689,0.46083696759447346,0.014353873044205398,0.5796715490457168,0.014910891849765373,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,16,1.0,9.661770694259998,0.6420583042570285,0.5863676370135189,0.004109540866154723,0.7738015978695073,0.009015031211202234,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,16,1.2,8.571079661206273,3.3806404351642603,0.6412302144677827,0.002707380386430175,0.9062916111850866,0.006647147138328455,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,16,1.5,1.0507862574711742,0.8035021690652476,0.660418234500667,0.0012572343873089942,0.9712605415002219,0.0034041766277303595,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,24,0.2,1.421521908255088,0.030578084319159426,0.05619525158934217,0.011628972831827594,0.19614587956798338,0.0018789858879462052,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,24,0.4,2.142109480105334,0.030091931000588466,0.0921755490192417,0.0142639101471021,0.24064210682053555,0.002237273013209789,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,24,0.6,3.69390401002047,0.2652560497790373,0.20030660540574474,0.022396591608615322,0.324493268234946,0.010398264974004494,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,24,0.8,7.278310775256702,0.25540760122953954,0.3775282655485889,0.006381368938028237,0.47562509246930024,0.009049578191784875,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,24,1.0,10.948867899958413,0.4522700648228138,0.5593367219406197,0.016532039579097206,0.7076860482319871,0.025642726753679252,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,24,1.2,4.570908168208528,2.0557185862731293,0.6429932500170954,0.002334912050575072,0.8975810031069686,0.0026201303075048307,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,24,1.5,6.626761300068618,5.340624770440449,0.6597903468691972,0.0023044027950666988,0.966600088770528,0.006086475163612103,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,32,0.2,1.4620953686252331,0.03216317970386473,0.05595392759617268,0.011858854936063505,0.17077230359520637,0.0029221469334806214,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,32,0.4,2.273027145932956,0.09398963236468715,0.0870111001450617,0.02198006980842894,0.21476919662671992,0.00447518932865891,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,32,0.6,3.8837812344304354,0.1730751390568072,0.1466325540618132,0.035465822479001104,0.28523080337328005,0.009465776538895592,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,32,0.8,7.2115848789866215,0.2569052427185234,0.3169401868905762,0.017139774884503176,0.40346205059920104,0.009766728128151948,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,32,1.0,10.199271809801756,1.5709124180081897,0.5068696914975687,0.009684410810041896,0.6243619618286728,0.008547255095892433,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,32,1.2,10.653034007622916,5.259652149758777,0.6097483509268647,0.005226087457103551,0.8219873501997337,0.008550555739015692,3,figdata_jsweep_20260602_2009.json
mistral_viz_jsweep,32,1.5,0.08945817471954837,0.0053109143034511,0.663188771233825,0.00020196363818204385,0.9706502441189525,0.0006684705419413906,3,figdata_jsweep_20260602_2009.json
